 ##################################################################################
 # [fnlo-tk-yodaout] Evaluating table: ./2jet.NNLO.fnl5662j_mjj0_chi_norm_v25.tab.gz
 # [fnlo-tk-yodaout] Using PDF set   : NNPDF31_nnlo_as_0118
 # [fnlo-tk-yodaout] Showing uncertainty from asymmetric 30-point scale factor variation for ratios.
 # [fnlo-tk-yodaout] Deriving NNLO cross sections for comparison.
 # [fnlo-tk-yodaout] Normalizing cross sections. 
 # [fnlo-tk-yodaout] Using scale definition kScale2.
 # [fnlo-tk-yodaout] No request given for central scale factor, using unmodified central scale.
 # [fnlo-tk-yodaout] Do not apply nonperturbative corrections.
 # [fnlo-tk-yodaout] No request given for x-axis rescale factor, using default value of unity.
 # [fnlo-tk-yodaout] No request given for uncertainty rescale factor, using default value of unity.
 # [fnlo-tk-yodaout] Using verbosity level: WARNING
 ##################################################################################

LHAPDF 6.5.4 loading /home/rabbertz/local/share/LHAPDF/NNPDF31_nnlo_as_0118/NNPDF31_nnlo_as_0118_0000.dat
NNPDF31_nnlo_as_0118 PDF set, member #0, version 1; LHAPDF ID = 303600
LHAPDF 6.5.4 loading /home/rabbertz/local/share/LHAPDF/NNPDF31_nnlo_as_0118/NNPDF31_nnlo_as_0118_0000.dat
NNPDF31_nnlo_as_0118 PDF set, member #0, version 1; LHAPDF ID = 303600
 ##################################################################################
 # fastNLOReader: Evaluating uncertainties
 ##################################################################################
 #=================================================================================
 # Relative scale uncertainties (30 NNPDF31_nnlo_as_0118 NNLO)
 #---------------------------------------------------------------------------------
 # bin      cross_section           lower_uncertainty       upper_uncertainty
 #- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
    1       7.49481707766E-02      -3.14837513234E-02       2.08450280997E-02
    2       6.27043496233E-02      -2.55875654464E-02       2.08450280997E-02
    3       6.13684225259E-02      -2.34976751861E-02       2.08450280997E-02
    4       6.20442334391E-02      -2.31850133894E-02       2.08450280997E-02
    5       6.27444950565E-02      -2.78058771429E-02       2.08450280997E-02
    6       6.35274156034E-02      -2.25691003083E-02       2.08450280997E-02
    7       6.51920519065E-02      -1.96396894439E-02       2.08450280997E-02
    8       6.42431513447E-02      -2.51479831791E-02       2.08450280997E-02
    9       6.63057648157E-02      -1.85569523785E-02       2.08450280997E-02
   10       6.84441778037E-02      -1.73180012013E-02       2.08450280997E-02
   11       6.87547398877E-02      -2.17954114209E-02       2.08450280997E-02
   12       7.12620547627E-02      -1.86576051189E-02       2.13544451450E-02
 #- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

 ##################################################################################
 #
 # NNLO_NNPDF31_nnl_30_norm_kScale2_no.yoda was successfully produced
 #
 ##################################################################################

